motiontype:Walking(3),Queueing(2),Idle(1)
timestamp,run,accuracy,motiontype,x,y,z
2991589138000,1,3,1,1.0784343E-4,0.039930344,0.019299984
2991625485000,1,3,1,0.014518354,0.10694599,0.05992508
2991675503000,1,3,1,0.09989246,0.08838177,0.14940166
2991715481000,1,3,1,0.03691125,0.16766262,0.18826056
2991755551000,1,3,1,0.07856618,0.124676704,0.17424536
2991785519000,1,3,1,0.09594838,0.1891365,0.19106627
2991805325000,1,3,1,0.027153522,0.18973827,0.17821598
2991825802000,1,3,1,-0.031508803,0.14877796,0.10190678
2991845791000,1,3,1,-0.03815686,0.12205601,0.073700905
2991865780000,1,3,1,-0.025023237,0.13611698,-0.018158913
2991885800000,1,3,1,-0.0025822818,0.1908207,0.037545204
2991905789000,1,3,1,-0.044243634,0.15469742,0.07603407
2991925808000,1,3,1,0.054485336,0.17087364,0.1337552
2991945828000,1,3,1,0.064570084,0.13974094,0.08860874
2991965817000,1,3,1,0.035919905,0.15642929,0.055376053
2991986050000,1,3,1,0.027691573,0.14026833,0.080649376
2992005978000,1,3,1,-0.007976383,0.15006542,0.080161095
2992025814000,1,3,1,0.004955724,0.1601305,0.11274147
2992045803000,1,3,1,0.007885352,0.12700653,0.118015766
2992065792000,1,3,1,0.06270079,0.18060017,0.1308651
2992085812000,1,3,1,0.059472322,0.19862938,0.17178106
2992105770000,1,3,1,0.02986689,0.1533289,0.08055687
2992125820000,1,3,1,-0.008298889,0.15902519,0.02594471
2992145809000,1,3,1,0.06453341,0.15786839,0.028502941
2992165829000,1,3,1,0.10627632,0.19750118,0.04787302
2992185818000,1,3,1,0.04519713,0.1927948,0.07184744
2992205807000,1,3,1,0.05059153,0.19018745,0.08927965
2992225796000,1,3,1,-0.02934505,0.16265774,0.10946655
2992245815000,1,3,1,0.011666909,0.15268135,0.119923115
2992265835000,1,3,1,0.013968021,0.14449596,-0.0013818741
2992287655000,1,3,1,-0.047228783,0.20807266,0.031553745
2992305386000,1,3,1,-0.032335162,0.17076492,0.109591484
2992326016000,1,3,1,0.07566869,0.106547356,0.19182682
2992345852000,1,3,1,0.05117093,0.17921352,0.027533054
2992365811000,1,3,1,-0.008442536,0.21426105,0.036322117
2992385830000,1,3,1,0.05643268,0.15838623,0.19273281
2992405880000,1,3,1,0.040444955,0.16793537,0.109212875
2992425808000,1,3,1,0.015228257,0.1770544,0.025136948
2992445828000,1,3,1,0.018378988,0.1468687,0.06762695
2992465847000,1,3,1,-0.0034121424,0.21650982,0.08749485
2992486263000,1,3,1,-0.071775496,0.14194393,0.013519764
2992505886000,1,3,1,-0.09237288,0.13274956,0.052954674
2992525845000,1,3,1,-0.0030307472,0.15024853,0.11970472
2992545834000,1,3,1,0.008420631,0.16226006,0.08253622
2992565823000,1,3,1,-0.056749478,0.1778326,0.06544399
2992585842000,1,3,1,0.045211896,0.12299633,0.1466546
2992605984000,1,3,1,0.063745484,0.16195202,0.06663704
2992625851000,1,3,1,0.03512305,0.16885376,0.023025513
2992645809000,1,3,1,0.034235016,0.17212391,0.10523844
2992665982000,1,3,1,-0.030103609,0.2111454,0.15154505
2992685818000,1,3,1,3.8681924E-4,0.19932747,0.18600416
2992705837000,1,3,1,-0.02515708,0.14781857,0.12972021
2992726925000,1,3,1,-0.090269335,0.17030525,0.1118412
2992746090000,1,3,1,-0.081197836,0.074391365,0.0650897
2992765408000,1,3,1,-0.078475125,0.03363514,0.07329607
2992785305000,1,3,1,-0.06942848,0.08720589,0.12158251
2992805996000,1,3,1,-0.025497437,0.19125843,0.15046453
2992825833000,1,3,1,-0.027030036,0.11362171,0.14415836
2992845333000,1,3,1,-0.05544921,0.08492565,0.12726545
2992865963000,1,3,1,0.007391438,0.06638718,0.12864923
2992885830000,1,3,1,0.034908384,0.08006191,0.10516882
2992905789000,1,3,1,0.060925305,0.15969658,0.1210022
2992925869000,1,3,1,0.067181155,0.20177269,0.10535383
2992945828000,1,3,1,0.062035307,0.17317963,0.14377737
2992965847000,1,3,1,0.05849734,0.15955448,0.17751122
2992985317000,1,3,1,0.0032043457,0.088419914,0.21180964
2993006039000,1,3,1,0.020464838,0.1336174,0.18369913
2993025814000,1,3,1,0.0091870725,0.1207304,0.14848518
2993045834000,1,3,1,-0.01656726,0.1198473,0.11441851
2993065853000,1,3,1,-0.07209961,0.10853672,0.20655918
2993085812000,1,3,1,-0.081671454,0.12896252,0.32384014
2993105831000,1,3,1,-0.08202333,0.07004547,0.20706749
2993125820000,1,3,1,-0.088090815,0.060261726,0.0757699
2993145870000,1,3,1,-0.12314415,0.080607414,0.088991165
2993165859000,1,3,1,-0.095062695,0.06425953,0.20332623
2993185818000,1,3,1,-0.07303572,0.10665226,0.16427898
2993205807000,1,3,1,-0.053639084,0.13077831,0.15096188
2993225826000,1,3,1,-0.040164545,0.14253521,0.19111204
2993245785000,1,3,1,-0.04093203,0.13467026,0.18066931
2993265835000,1,3,1,-0.06819895,0.05981064,0.17606878
2993285885000,1,3,1,-0.03872882,0.10702133,0.1776309
2993307583000,1,3,1,-8.380711E-4,0.13866329,0.24517965
2993325711000,1,3,1,-0.041787177,0.12232494,0.22659636
2993346035000,1,3,1,-0.08975041,0.119888306,0.18492985
2993365841000,1,3,1,-0.089941114,0.13022327,0.2302742
2993385922000,1,3,1,-0.062797084,0.05788517,0.24584103
2993405819000,1,3,1,-0.11918576,0.06919479,0.21853542
2993426266000,1,3,1,-0.057100758,0.05857277,0.25318193
2993445828000,1,3,1,-0.10984716,0.063097954,0.15212631
2993466244000,1,3,1,-0.12982729,0.16499233,0.09222269
2993485989000,1,3,1,-0.117176026,0.121878624,0.1560831
2993505825000,1,3,1,-0.13638122,0.026194572,0.27953815
2993525997000,1,3,1,-0.06319806,0.047719955,0.27639246
2993545895000,1,3,1,-0.047573075,0.13505363,0.25675583
2993565823000,1,3,1,-0.029575616,0.17267418,0.2839265
2993585812000,1,3,1,-0.05176276,0.06926823,0.25769615
2993606045000,1,3,1,-0.07217719,0.060362816,0.22046518
2993627072000,1,3,1,-0.07441534,0.113307,0.22601509
2993646939000,1,3,1,-0.09890477,0.096645355,0.20696115
2993666897000,1,3,1,-0.12783377,0.09262276,0.2775941
2993686917000,1,3,1,-0.16454802,0.03140831,0.24930811
2993706967000,1,3,1,-0.20655793,0.051405907,0.2393179
2993726925000,1,3,1,-0.18709493,0.060365677,0.26003504
2993746884000,1,3,1,-0.16593158,0.029287338,0.27833033
2993767056000,1,3,1,-0.2099724,0.09773159,0.22449207
2993787045000,1,3,1,-0.20687091,0.07832813,0.24213505
2993806942000,1,3,1,-0.18023996,0.024694443,0.22152758
2993826931000,1,3,1,-0.16354366,0.06996536,0.22463179
2993846951000,1,3,1,-0.15724252,0.045975685,0.2335248
2993866909000,1,3,1,-0.119564384,0.056132317,0.26763964
2993886929000,1,3,1,-0.10558906,0.091290474,0.28903055
2993906918000,1,3,1,-0.121221796,0.14627075,0.28627157
2993926937000,1,3,1,-0.10263008,0.103396416,0.34269142
2993946926000,1,3,1,-0.128545,0.08153629,0.28383923
2993967221000,1,3,1,-0.16623949,0.067038536,0.25322723
2993986904000,1,3,1,-0.17592093,0.05001068,0.22296524
2994007107000,1,3,1,-0.18050313,0.062023163,0.30117846
2994026943000,1,3,1,-0.18300986,0.10137653,0.32116652
2994046932000,1,3,1,-0.1904203,0.07353687,0.28632975
2994066921000,1,3,1,-0.20345952,0.022044182,0.2352953
2994086941000,1,3,1,-0.21123292,1.6021729E-4,0.21612263
2994106930000,1,3,1,-0.20486045,0.054898262,0.2868638
2994126553000,1,3,1,-0.17843875,0.10110378,0.30637312
2994147061000,1,3,1,-0.15164092,0.07228279,0.28171778
2994166928000,1,3,1,-0.18489859,0.047135353,0.30228424
2994186886000,1,3,1,-0.19917701,0.0485754,0.33802128
2994206906000,1,3,1,-0.1721759,0.056544304,0.31174278
2994226925000,1,3,1,-0.16116467,0.048166275,0.25711107
2994248043000,1,3,1,-0.16492474,0.081668854,0.2540388
2994266354000,1,3,1,-0.22199498,0.042568207,0.31108713
2994287075000,1,3,1,-0.21080649,0.07555199,0.35202646
2994306912000,1,3,1,-0.15022972,0.0869503,0.3199997
2994326962000,1,3,1,-0.1717571,0.10468483,0.31100512
2994347195000,1,3,1,-0.17405865,0.076704025,0.3373232
2994366940000,1,3,1,-0.24169499,-0.05404091,0.3310089
2994386959000,1,3,1,-0.24938291,-0.005914688,0.2677431
2994407040000,1,3,1,-0.2155182,0.09593582,0.30803967
2994426907000,1,3,1,-0.23489247,0.07472515,0.29747963
2994446926000,1,3,1,-0.26380935,0.08512497,0.27461004
2994466946000,1,3,1,-0.25585356,0.061055183,0.29180813
2994486965000,1,3,1,-0.22934198,0.012851715,0.3298335
2994506954000,1,3,1,-0.1996328,0.033566475,0.32841682
2994526913000,1,3,1,-0.14674467,0.10681534,0.3477354
2994546902000,1,3,1,-0.11983386,0.14562511,0.38451815
2994566921000,1,3,1,-0.10291502,0.06169319,0.38385296
2994586971000,1,3,1,-0.15431494,0.08228874,0.40968466
2994606961000,1,3,1,-0.18864083,0.040240288,0.3368292
2994626950000,1,3,1,-0.2663529,0.019904137,0.23013973
2994646908000,1,3,1,-0.2871645,0.07495499,0.36804867
2994667202000,1,3,1,-0.3218214,0.053052902,0.41364622
2994686917000,1,3,1,-0.37372035,0.045067787,0.37367344
2994706936000,1,3,1,-0.40589112,0.04257202,0.34397793
2994726986000,1,3,1,-0.39617345,-0.05915451,0.34856415
2994746884000,1,3,1,-0.4137664,0.0039110184,0.29200745
2994766903000,1,3,1,-0.37821823,0.028209686,0.22108984
