statvalue 1:rest, 2:Queuing, 3:walking.
SampleNum statValueX Y Z 
164 1 0.02873042 -0.039504327 9.527725
165 1 0.049081136 -0.0011971008 9.551667
166 1 0.051475335 -0.045489833 9.537302
167 1 0.022744916 -0.017956512 9.510966
168 1 0.04189853 -0.022744916 9.52174
169 1 0.05267244 -0.010773907 9.5013895
170 1 0.033518825 -0.007182605 9.555259
171 1 0.049081136 -0.020350715 9.533711
172 1 0.034715924 -0.019153614 9.508572
173 1 0.033518825 -0.038307227 9.494206
174 1 0.06584055 -0.02633622 9.527725
175 1 0.034715924 -0.020350715 9.528923
176 1 0.045489833 -0.037110128 9.546879
177 1 0.05626374 -0.020350715 9.518148
178 1 0.055066638 -0.017956512 9.548077
179 1 0.03232172 -0.016759412 9.515755
180 1 0.049081136 -0.01316811 9.5013895
181 1 0.039504327 -0.0047884034 9.516952
182 1 0.051475335 -0.03232172 9.515755
183 1 0.046686932 -0.02873042 9.5385
184 1 0.05267244 -0.029927522 9.510966
185 1 0.051475335 -0.007182605 9.532514
186 1 0.038307227 -0.035913024 9.537302
187 1 0.049081136 -0.015562311 9.52174
188 1 0.050278235 -0.01436521 9.52174
189 1 0.05267244 -0.021547815 9.527725
190 1 0.044292733 -0.0035913025 9.520543
191 1 0.04309563 -0.0047884034 9.497798
192 1 0.059855044 -0.005985504 9.54209
193 1 0.046686932 -0.01436521 9.531317
194 1 0.05626374 -0.01436521 9.512163
195 1 0.055066638 -0.019153614 9.539697
196 1 0.033518825 -0.04070143 9.508572
197 1 0.05267244 -0.015562311 9.515755
198 1 0.033518825 -0.027533319 9.546879
199 1 0.045489833 -0.025139118 9.5385
200 1 0.06943185 -0.02633622 9.515755
201 1 0.06344634 -0.016759412 9.52174
202 1 0.055066638 -0.02873042 9.536105
203 1 0.055066638 -0.023942016 9.510966
204 1 0.06823475 -0.008379706 9.522937
205 1 0.051475335 -0.019153614 9.5492735
206 1 0.05267244 -0.025139118 9.503783
207 1 0.050278235 -0.023942016 9.52174
208 1 0.038307227 -0.020350715 9.518148
209 1 0.037110128 -0.015562311 9.545682
210 1 0.051475335 -0.023942016 9.512163
211 1 0.031124622 -0.031124622 9.554062
212 1 0.039504327 -0.046686932 9.518148
213 1 0.05626374 -0.019153614 9.54209
214 1 0.059855044 -0.022744916 9.527725
215 1 0.031124622 -0.025139118 9.498995
216 1 0.06464344 -0.01436521 9.527725
217 1 0.02633622 -0.008379706 9.53012
218 1 0.049081136 -0.023942016 9.552865
219 1 0.05746084 -0.02633622 9.507375
220 1 0.03232172 0.0011971008 9.524135
221 1 -0.29209262 0.093373865 9.552865
222 1 -0.21308395 0.1436521 9.526528
223 1 0.039504327 -0.08619126 9.552865
224 1 0.22146365 -0.2645593 9.540894
225 1 0.17477672 0.09816227 9.516952
226 1 0.074220255 -0.23343466 9.540894
227 1 0.37828386 -0.35194764 9.507375
228 1 0.31124622 -1.1719618 9.543288
229 1 1.1779473 0.17836803 9.55885
230 1 -0.095768064 -0.090979666 9.479841
231 1 -0.046686932 -0.020350715 9.572019
232 1 -0.08259996 -0.12449849 9.518148
233 1 -0.06943185 -0.09935937 9.563639
234 1 -0.10534488 -0.1400608 9.518148
235 1 -0.093373865 -0.1316811 9.512163
